method,estimand,level,target,uar,macro_f1,accuracy
MERT linear probe,source_equal_weighted,target_macro,ALL,0.3561969186409005,0.35592776210735044,0.6216423651923343
MERT linear probe,aria_equal_weighted,target,back_placement,0.3575698770108508,0.35850489566611093,0.6246487895679778
MERT linear probe,aria_equal_weighted,target,breathiness,0.49855937216345136,0.49841489493078406,0.7876614721242173
MERT linear probe,aria_equal_weighted,target,chest_resonance,0.3225466664318556,0.3231414027234669,0.5064585952060559
MERT linear probe,aria_equal_weighted,target,front_placement,0.33744838009954586,0.3372550047094504,0.6369872035299553
MERT linear probe,aria_equal_weighted,target,head_resonance,0.3116738145054562,0.3126064817442208,0.49271991056130043
MERT linear probe,aria_equal_weighted,target,open_throat,0.3086371545862363,0.30713862842901524,0.568267854815395
MERT linear probe,aria_equal_weighted,target,vibrato,0.35227604204215873,0.3505137266973523,0.6725725941878999
MERT linear probe,aria_equal_weighted,target_macro,ALL,0.355530186691365,0.3553678621286287,0.6127594885704001
MERT multi-task,segment_weighted,target,back_placement,0.3429817648118539,0.34732159729148154,0.6455439814814815
MERT multi-task,segment_weighted,target,breathiness,0.48709323915821334,0.4840279890477639,0.8159722222222222
MERT multi-task,segment_weighted,target,chest_resonance,0.331614713348934,0.33267877204824503,0.5083912037037037
MERT multi-task,segment_weighted,target,front_placement,0.3386711752436118,0.3380837043647927,0.7048611111111112
MERT multi-task,segment_weighted,target,head_resonance,0.32040288222303576,0.318061874533242,0.4765625
MERT multi-task,segment_weighted,target,open_throat,0.2986339752271366,0.29637117567297455,0.6131365740740741
MERT multi-task,segment_weighted,target,vibrato,0.3466881425708357,0.3437571941427761,0.6284722222222222
MERT multi-task,segment_weighted,target_macro,ALL,0.352297984654803,0.3514717581573251,0.6275628306878307
MERT multi-task,source_equal_weighted,target,back_placement,0.3402073627228093,0.344482027065456,0.6464569484219318
MERT multi-task,source_equal_weighted,target,breathiness,0.4863232470476409,0.4838365330645664,0.8231340355662154
MERT multi-task,source_equal_weighted,target,chest_resonance,0.33613726601506305,0.3326690980509428,0.5223816938539915
MERT multi-task,source_equal_weighted,target,front_placement,0.3382472075782074,0.3379812335070589,0.7130821794287313
MERT multi-task,source_equal_weighted,target,head_resonance,0.3231361114511492,0.31900864662273815,0.48078094787792985
MERT multi-task,source_equal_weighted,target,open_throat,0.30456753248899865,0.3003201566766794,0.6181527063166717
MERT multi-task,source_equal_weighted,target,vibrato,0.3512066232980564,0.3502866496146048,0.6456873999985695
MERT multi-task,source_equal_weighted,target_macro,ALL,0.3542607643717036,0.352654906371721,0.6356679873520059
MERT multi-task,aria_equal_weighted,target,back_placement,0.3345616177033957,0.3334164732753633,0.6083179690692554
MERT multi-task,aria_equal_weighted,target,breathiness,0.48234174946578046,0.4784222989948085,0.8160166303930925
MERT multi-task,aria_equal_weighted,target,chest_resonance,0.3391782001209798,0.3385539209017661,0.5272375047315573
MERT multi-task,aria_equal_weighted,target,front_placement,0.3402520098133462,0.338943759488483,0.6873120901960876
MERT multi-task,aria_equal_weighted,target,head_resonance,0.3127286637835072,0.3060950747383762,0.4741336208820951
MERT multi-task,aria_equal_weighted,target,open_throat,0.3078275852192796,0.30193043090877736,0.5890664060402964
MERT multi-task,aria_equal_weighted,target,vibrato,0.3455687279362827,0.3454727252486072,0.6725381773299078
MERT multi-task,aria_equal_weighted,target_macro,ALL,0.3517797934346531,0.34897638336516884,0.6249460569488988
MERT/MuQ posterior fusion,segment_weighted,target,back_placement,0.34308710321097907,0.3431100884474143,0.6796875
